Category,State, Description,Source
Emergency Management/Disaster Response,Kansas,"$16.7 million approved by the State Finance Council for disbursement of COVID-19 related costs for state agencies, as well as FY 2020 expenditures for the Office of Recovery. ",Governor
Emergency Management/Disaster Response,Louisiana,"$50 million to a tax rebate program which gives grocery store employees, nurses, bus drivers and other workers a one-time payment for $250 of hazard pay. To qualify, workers must earn $50,000 per year or less, and have spent at least 200 hours responding to or mitigating the COVID-19 crisis from March 22, 2020, through May 14, 2020. The rebates are limited to the first 200,000 applicants.",State
Emergency Management/Disaster Response,Michigan,$10 million Michigan OSHA response grants.,Legislation
Emergency Management/Disaster Response,Michigan,$100 million for extra pay for first responders.,Legislation
Emergency Management/Disaster Response,Minnesota,"$2 million for vendor capacity, operational costs for full implementation of Pandemic-EBT and Emergency-SNAP.",State
Emergency Management/Disaster Response,Minnesota,"$64,751 for Executive Order Enforcement Inspections (public safety).",State
Emergency Management/Disaster Response,Minnesota,"$750,000 to the Department of Transportation for transportation for COVID positive disables, homeless, and Minnesota care recipients.",State
Emergency Management/Disaster Response,Minnesota,$8 million for Youth Intervention and Crime Victims Services Community COVID-19 Response Grants,State
Emergency Management/Disaster Response,Mississippi,"$40 million in funds for the Mississippi Emergency Management Agency were reallocated from defraying eligible COVID-19 expenses for FY 2021 to purchase a building for storage of PPE, and other equipment, supplies, materials and products that are used for preventing or reducing the transmission of COVID-19.",State
Emergency Management/Disaster Response,Nevada,$6.25 million to pay for FEMA's cost share requirements for the Stafford Act assistance only for COVID-19 related costs.,Governor
Emergency Management/Disaster Response,New Hampshire,$20 million for the First Responder & Correctional Officer Incentive Stipend Program.,Governor
Emergency Management/Disaster Response,New Hampshire,"$25 million hazard pay program for eligible full-time firefighters, EMS providers, police officers and corrections officers. The program offered $300 weekly stipends through the end of June for working during the COVID-19 pandemic, as well as $150 weekly stipends for part-time first responders and volunteer firefighters and EMS providers. ",Media
Emergency Management/Disaster Response,New Jersey,$1.8 million for COVID-related emergency expenses related to the 25% FEMA match.,State
Emergency Management/Disaster Response,New Jersey,$100 million for the Office of Emergency Management FEMA related match.,State
Emergency Management/Disaster Response,New Jersey,"$106,000 to environment protection for COVID-related 25% FEMA match for emergency expenses.",State
Emergency Management/Disaster Response,New Jersey,$12 million for NJ State Police increased costs related to compliance with COVID-19 health measures.,State
Emergency Management/Disaster Response,New Jersey,"$13.8 million CRF-eligible payroll costs for employees substantially dedicated to COVID-19 response activities, such as State Police, Department of Corrections, and direct medical care workers.",State
Emergency Management/Disaster Response,New Jersey,$14 million for payments to fund jobs related to the State's COVID-19 response and recovery and to provide training for positions left vacant by pandemic-related layoffs.,State
Emergency Management/Disaster Response,New Jersey,"$15,000 to the Department of State for the 25% FEMA match.",State
Emergency Management/Disaster Response,New Jersey,"$156,000 to the Department of Transportation for the 25% FEMA Match",State
Emergency Management/Disaster Response,New Jersey,"$158,000 to the State Treasury for FEMA Match",State
Emergency Management/Disaster Response,New Jersey,$19.8 million for FEMA match for 12 counties.,State
Emergency Management/Disaster Response,New Jersey,"$20,000 for the COVID CRF FEMA Match.",State
Emergency Management/Disaster Response,New Jersey,"$391,000 to intergovernmental accounts for COVID-related emergency expenses for the FEMA 25% match obligation.",State
Emergency Management/Disaster Response,New Jersey,$4 million to the Department of Health for COVID-related emergency expenses related to the 25% FEMA match.,State
Emergency Management/Disaster Response,New Jersey,$4.7 million for military and veterans affairs related to the 25% FEMA match.,State
Emergency Management/Disaster Response,New Jersey,$49.2 million for costs of upgrading NJ State Police communications system due to weaknesses highlighted by COVID-19 pandemic.,State
Emergency Management/Disaster Response,New Jersey,"$50.5 million for CRF-eligible State Police payroll costs for employees substantially dedicated to COVID-19 response activities, such as State Police, Department of Corrections, and direct medical care workers.",State
